Name: Calle Presa Salinillas, Instruction: Head east on Calle Presa Salinillas, Distance: 163.4 meters, Time: 117.6 seconds
Name: Calle Presa la Angostura, Instruction: Turn left onto Calle Presa la Angostura, Distance: 241.5 meters, Time: 173.9 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 149.9 meters, Time: 107.9 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.7 seconds
Name: Calzada Legaria, Instruction: Turn left onto Calzada Legaria, Distance: 97.0 meters, Time: 69.8 seconds
Name: -, Instruction: Turn right, Distance: 55.7 meters, Time: 40.1 seconds
Name: Calzada Legaria, Instruction: Turn right onto Calzada Legaria, Distance: 40.2 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 29.2 meters, Time: 21.1 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 49.6 meters, Time: 35.7 seconds
Name: Calle Abelardo L. Rodríguez, Instruction: Turn sharp right onto Calle Abelardo L. Rodríguez, Distance: 55.0 meters, Time: 39.6 seconds
Name: Calle 6, Instruction: Turn left onto Calle 6, Distance: 87.2 meters, Time: 62.8 seconds
Name: Calle 1, Instruction: Turn left onto Calle 1, Distance: 307.9 meters, Time: 221.7 seconds
Name: -, Instruction: Turn left, Distance: 23.3 meters, Time: 16.8 seconds
Name: Calzada Legaria, Instruction: Turn right onto Calzada Legaria, Distance: 65.6 meters, Time: 47.2 seconds
Name: Calzada Santa Cruz Cacalco, Instruction: Enter the roundabout and take the 1st exit onto Calzada Santa Cruz Cacalco, Distance: 27.9 meters, Time: 20.1 seconds
Name: Calzada Santa Cruz Cacalco, Instruction: Turn slight left onto Calzada Santa Cruz Cacalco, Distance: 9.9 meters, Time: 7.1 seconds
Name: Calle Poniente 139-A, Instruction: Turn right onto Calle Poniente 139-A, Distance: 161.6 meters, Time: 116.3 seconds
Name: Calle Lago Atitlán, Instruction: Turn left onto Calle Lago Atitlán, Distance: 102.4 meters, Time: 73.7 seconds
Name: Primera Cerrada Lago Atitlán, Instruction: Turn right onto Primera Cerrada Lago Atitlán, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Arrive at Primera Cerrada Lago Atitlán, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
