Name: Rue Miollis, Instruction: Head east on Rue Miollis, Distance: 115.5 meters, Time: 83.2 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 50.4 meters, Time: 36.3 seconds
Name: -, Instruction: Turn right, Distance: 633.2 meters, Time: 455.9 seconds
Name: -, Instruction: Turn left, Distance: 94.5 meters, Time: 68.0 seconds
Name: -, Instruction: Turn slight right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn slight left, Distance: 151.7 meters, Time: 109.2 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
