Name: Rua Joaquim de Queiroz, Instruction: Head east on Rua Joaquim de Queiroz, Distance: 560.9 meters, Time: 403.9 seconds
Name: -, Instruction: Turn right, Distance: 140.2 meters, Time: 101.0 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Turn left, Distance: 160.6 meters, Time: 115.6 seconds
Name: Rua Sete de Setembro, Instruction: Turn left onto Rua Sete de Setembro, Distance: 200.8 meters, Time: 144.6 seconds
Name: Rua Sete de Setembro, Instruction: Keep left onto Rua Sete de Setembro, Distance: 169.3 meters, Time: 121.9 seconds
Name: Travessa Vista Alegre, Instruction: Turn right onto Travessa Vista Alegre, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn left, Distance: 47.2 meters, Time: 34.0 seconds
Name: -, Instruction: Turn left, Distance: 110.5 meters, Time: 79.5 seconds
Name: -, Instruction: Turn right, Distance: 169.8 meters, Time: 122.3 seconds
Name: -, Instruction: Turn left, Distance: 67.9 meters, Time: 48.9 seconds
Name: -, Instruction: Turn slight left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
