Name: MacNamara Avenue, Instruction: Head south on MacNamara Avenue, Distance: 391.4 meters, Time: 281.8 seconds
Name: Pitt Street, Instruction: Turn left onto Pitt Street, Distance: 264.5 meters, Time: 190.4 seconds
Name: Flavelle Street, Instruction: Turn right onto Flavelle Street, Distance: 341.5 meters, Time: 245.8 seconds
Name: Flavelle Street, Instruction: Keep left onto Flavelle Street, Distance: 40.9 meters, Time: 29.5 seconds
Name: -, Instruction: Turn left, Distance: 49.5 meters, Time: 35.6 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 240.2 meters, Time: 172.9 seconds
Name: -, Instruction: Turn right, Distance: 379.8 meters, Time: 273.5 seconds
Name: -, Instruction: Keep right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 81.3 meters, Time: 58.6 seconds
Name: -, Instruction: Turn right, Distance: 131.5 meters, Time: 94.7 seconds
Name: Neich Parade, Instruction: Turn right onto Neich Parade, Distance: 302.4 meters, Time: 217.7 seconds
Name: -, Instruction: Arrive at Neich Parade, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
