Name: Lees Place, Instruction: Head north on Lees Place, Distance: 36.6 meters, Time: 26.4 seconds
Name: Matilda Grove, Instruction: Turn right onto Matilda Grove, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 63.1 meters, Time: 45.4 seconds
Name: -, Instruction: Turn right, Distance: 196.9 meters, Time: 141.7 seconds
Name: -, Instruction: Turn left, Distance: 157.8 meters, Time: 113.6 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 124.2 meters, Time: 89.4 seconds
Name: -, Instruction: Turn right, Distance: 375.0 meters, Time: 270.0 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Comet Circuit, Instruction: Turn left onto Comet Circuit, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Continue straight, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 394.7 meters, Time: 284.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
