Name: Wrexham Road, Instruction: Head northeast on Wrexham Road, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 282.1 meters, Time: 203.1 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 72.1 meters, Time: 51.9 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 387.1 meters, Time: 278.7 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: Sugar House Lane, Instruction: Turn right onto Sugar House Lane, Distance: 13.2 meters, Time: 9.5 seconds
Name: Dane's Yard, Instruction: Turn left onto Dane's Yard, Distance: 31.5 meters, Time: 22.7 seconds
Name: Dane's Yard, Instruction: Keep left onto Dane's Yard, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
