Name: Jalan Loyang Besar, Instruction: Head west on Jalan Loyang Besar, Distance: 320.7 meters, Time: 230.9 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn slight left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 223.8 meters, Time: 161.1 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Keep right, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn slight right, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 162.1 meters, Time: 116.7 seconds
Name: Pasir Ris Park Connector, Instruction: Turn left onto Pasir Ris Park Connector, Distance: 329.7 meters, Time: 237.4 seconds
Name: Pasir Ris Park Connector, Instruction: Turn right onto Pasir Ris Park Connector, Distance: 19.3 meters, Time: 13.9 seconds
Name: Pasir Ris Park Connector, Instruction: Turn slight left onto Pasir Ris Park Connector, Distance: 20.2 meters, Time: 14.6 seconds
Name: Pasir Ris Park Connector, Instruction: Turn left onto Pasir Ris Park Connector, Distance: 128.1 meters, Time: 92.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 155.2 meters, Time: 111.7 seconds
Name: -, Instruction: Turn right, Distance: 148.0 meters, Time: 106.6 seconds
Name: -, Instruction: Turn left, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn left, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn right, Distance: 481.0 meters, Time: 346.3 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 188.1 meters, Time: 135.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
