Name: Wilhelm-Zwölfer-Straße, Instruction: Head southeast on Wilhelm-Zwölfer-Straße, Distance: 60.3 meters, Time: 43.4 seconds
Name: Pasteurstraße, Instruction: Turn slight right onto Pasteurstraße, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 46.9 meters, Time: 33.8 seconds
Name: -, Instruction: Keep left, Distance: 713.9 meters, Time: 514.0 seconds
Name: -, Instruction: Turn left, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.2 seconds
Name: Obere Allee, Instruction: Turn left onto Obere Allee, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 538.9 meters, Time: 388.0 seconds
Name: -, Instruction: Turn right, Distance: 50.2 meters, Time: 36.1 seconds
Name: -, Instruction: Turn left, Distance: 251.7 meters, Time: 181.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
