Name: East Lane, Instruction: Head north on East Lane, Distance: 126.0 meters, Time: 90.7 seconds
Name: -, Instruction: Turn left, Distance: 69.0 meters, Time: 49.6 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 56.8 meters, Time: 40.9 seconds
Name: West Lane, Instruction: Turn left onto West Lane, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 40.1 meters, Time: 28.9 seconds
Name: Carinya Avenue, Instruction: Turn left onto Carinya Avenue, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 70.2 meters, Time: 50.5 seconds
Name: -, Instruction: Turn left, Distance: 98.0 meters, Time: 70.6 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
