Name: Mavety Street, Instruction: Head north on Mavety Street, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Turn right, Distance: 75.5 meters, Time: 54.4 seconds
Name: -, Instruction: Keep left, Distance: 226.8 meters, Time: 163.3 seconds
Name: -, Instruction: Keep right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn slight left, Distance: 170.0 meters, Time: 122.4 seconds
Name: -, Instruction: Turn slight left, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Keep right, Distance: 140.3 meters, Time: 101.0 seconds
Name: -, Instruction: Keep right, Distance: 395.7 meters, Time: 284.9 seconds
Name: -, Instruction: Turn left, Distance: 286.5 meters, Time: 206.2 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: West Toronto Street, Instruction: Turn left onto West Toronto Street, Distance: 77.4 meters, Time: 55.7 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
