Name: Rua Augusto Vasconcelos, Instruction: Head northeast on Rua Augusto Vasconcelos, Distance: 209.7 meters, Time: 151.0 seconds
Name: Praça Doutor Raul Boaventura, Instruction: Turn sharp right onto Praça Doutor Raul Boaventura, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: Praça Doutor Raul Boaventura, Instruction: Turn left onto Praça Doutor Raul Boaventura, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn left, Distance: 43.4 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 25.8 meters, Time: 18.6 seconds
Name: Rua Campo Grande, Instruction: Turn right onto Rua Campo Grande, Distance: 274.6 meters, Time: 197.7 seconds
Name: -, Instruction: Turn right, Distance: 79.6 meters, Time: 57.3 seconds
Name: -, Instruction: Turn left, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn left, Distance: 54.4 meters, Time: 39.2 seconds
Name: -, Instruction: Turn right, Distance: 36.1 meters, Time: 26.0 seconds
Name: Terminal Rodoviário de Campo Grande, Instruction: Turn left onto Terminal Rodoviário de Campo Grande, Distance: 66.3 meters, Time: 47.8 seconds
Name: Terminal Rodoviário de Campo Grande, Instruction: Keep right onto Terminal Rodoviário de Campo Grande, Distance: 20.9 meters, Time: 15.0 seconds
Name: Rua Itaobim, Instruction: Turn right onto Rua Itaobim, Distance: 17.8 meters, Time: 12.8 seconds
Name: Rua Iaçu, Instruction: Turn sharp left onto Rua Iaçu, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
