Name: Baldurstraße, Instruction: Head east on Baldurstraße, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Turn right, Distance: 557.8 meters, Time: 401.6 seconds
Name: -, Instruction: Keep left, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Keep left, Distance: 201.5 meters, Time: 145.1 seconds
Name: -, Instruction: Keep left, Distance: 232.8 meters, Time: 167.6 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 46.6 meters, Time: 33.5 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
