Name: Calle Crestón, Instruction: Head north on Calle Crestón, Distance: 13.7 meters, Time: 9.8 seconds
Name: Calle Nubes Sur, Instruction: Turn left onto Calle Nubes Sur, Distance: 198.3 meters, Time: 142.8 seconds
Name: Calle Picacho, Instruction: Turn sharp left onto Calle Picacho, Distance: 540.5 meters, Time: 389.2 seconds
Name: Avenida Picacho, Instruction: Turn left onto Avenida Picacho, Distance: 34.1 meters, Time: 24.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 52.0 meters, Time: 37.4 seconds
Name: -, Instruction: Keep left, Distance: 39.0 meters, Time: 28.1 seconds
Name: Avenida Camino a Santa Teresa, Instruction: Turn slight left onto Avenida Camino a Santa Teresa, Distance: 38.1 meters, Time: 27.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn left, Distance: 205.1 meters, Time: 147.6 seconds
Name: Boulevard Adolfo Ruiz Cortines, Instruction: Continue straight onto Boulevard Adolfo Ruiz Cortines, Distance: 100.3 meters, Time: 72.2 seconds
Name: -, Instruction: Turn left, Distance: 111.7 meters, Time: 80.5 seconds
Name: Boulevard Adolfo Ruiz Cortines, Instruction: Turn right onto Boulevard Adolfo Ruiz Cortines, Distance: 260.7 meters, Time: 187.7 seconds
Name: -, Instruction: Arrive at Boulevard Adolfo Ruiz Cortines, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
