Name: Edward Edgar Street, Instruction: Head north on Edward Edgar Street, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 245.6 meters, Time: 176.8 seconds
Name: -, Instruction: Turn slight left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn slight left, Distance: 50.8 meters, Time: 36.6 seconds
Name: -, Instruction: Turn slight right, Distance: 38.8 meters, Time: 27.9 seconds
Name: -, Instruction: Turn left, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Turn left, Distance: 292.1 meters, Time: 210.3 seconds
Name: -, Instruction: Keep left, Distance: 525.2 meters, Time: 378.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Keep right, Distance: 41.2 meters, Time: 29.6 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Wiltshire Street, Instruction: Turn left onto Wiltshire Street, Distance: 35.2 meters, Time: 25.3 seconds
Name: -, Instruction: Arrive at Wiltshire Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
