Name: Alte Landstraße, Instruction: Head northwest on Alte Landstraße, Distance: 243.7 meters, Time: 175.5 seconds
Name: -, Instruction: Turn slight left, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Continue straight, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Keep left, Distance: 86.7 meters, Time: 62.4 seconds
Name: -, Instruction: Keep right, Distance: 86.1 meters, Time: 62.0 seconds
Name: -, Instruction: Turn left, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Keep left, Distance: 354.7 meters, Time: 255.4 seconds
Name: -, Instruction: Turn left, Distance: 990.2 meters, Time: 713.0 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: Lilienthalstraße, Instruction: Turn left onto Lilienthalstraße, Distance: 19.1 meters, Time: 13.7 seconds
Name: Lilienthalstraße, Instruction: Enter the roundabout and take the 1st exit onto Lilienthalstraße, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Arrive at Lilienthalstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
