Name: Nome Street, Instruction: Head north on Nome Street, Distance: 39.1 meters, Time: 28.1 seconds
Name: -, Instruction: Turn right, Distance: 100.6 meters, Time: 72.4 seconds
Name: East 49th Avenue, Instruction: Turn right onto East 49th Avenue, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 141.5 meters, Time: 101.9 seconds
Name: -, Instruction: Turn left, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Turn right, Distance: 102.1 meters, Time: 73.5 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: Oakland Street, Instruction: Turn right onto Oakland Street, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 21.6 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 109.8 meters, Time: 79.0 seconds
Name: -, Instruction: Turn right, Distance: 109.6 meters, Time: 78.9 seconds
Name: -, Instruction: Turn left, Distance: 22.9 meters, Time: 16.5 seconds
Name: Paris Street, Instruction: Turn right onto Paris Street, Distance: 47.9 meters, Time: 34.5 seconds
Name: East 47th Avenue, Instruction: Turn left onto East 47th Avenue, Distance: 72.2 meters, Time: 52.0 seconds
Name: -, Instruction: Arrive at East 47th Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
