Name: Clarence Street, Instruction: Head south on Clarence Street, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 639.9 meters, Time: 460.7 seconds
Name: -, Instruction: Turn left, Distance: 33.8 meters, Time: 24.4 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Keep left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 33.7 meters, Time: 24.3 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Keep left, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
