Name: Eulenspiegelstraße, Instruction: Head south on Eulenspiegelstraße, Distance: 11.0 meters, Time: 7.9 seconds
Name: Rübezahlstraße, Instruction: Turn left onto Rübezahlstraße, Distance: 226.4 meters, Time: 163.0 seconds
Name: Isegrimstraße, Instruction: Turn right onto Isegrimstraße, Distance: 279.2 meters, Time: 201.0 seconds
Name: Schneewittchenstraße, Instruction: Turn right onto Schneewittchenstraße, Distance: 13.4 meters, Time: 9.6 seconds
Name: Froschkönigweg, Instruction: Turn left onto Froschkönigweg, Distance: 100.8 meters, Time: 72.6 seconds
Name: -, Instruction: Turn left, Distance: 0.3 meters, Time: 0.2 seconds
Name: -, Instruction: Turn right, Distance: 87.7 meters, Time: 63.1 seconds
Name: Kaiserstraße, Instruction: Continue straight onto Kaiserstraße, Distance: 501.4 meters, Time: 361.0 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn left, Distance: 190.8 meters, Time: 137.4 seconds
Name: -, Instruction: Keep right, Distance: 127.0 meters, Time: 91.5 seconds
Name: Lersnerstraße, Instruction: Turn right onto Lersnerstraße, Distance: 289.3 meters, Time: 208.3 seconds
Name: Jahnstraße, Instruction: Turn left onto Jahnstraße, Distance: 9.0 meters, Time: 6.5 seconds
Name: Von-Gluck-Straße, Instruction: Turn right onto Von-Gluck-Straße, Distance: 124.0 meters, Time: 89.3 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 52.3 meters, Time: 37.7 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
