Name: Riverton Close, Instruction: Head west on Riverton Close, Distance: 36.3 meters, Time: 26.1 seconds
Name: Ashmore Road, Instruction: Turn right onto Ashmore Road, Distance: 601.8 meters, Time: 433.3 seconds
Name: -, Instruction: Turn right, Distance: 28.7 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn slight right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn slight left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Premier Corner, Instruction: Turn right onto Premier Corner, Distance: 14.4 meters, Time: 10.4 seconds
Name: Salusbury Road, Instruction: Turn slight left onto Salusbury Road, Distance: 69.1 meters, Time: 49.8 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: 4, Instruction: Turn sharp right onto 4, Distance: 7.4 meters, Time: 5.4 seconds
Name: 4, Instruction: Turn right onto 4, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Arrive at 4, on the left, Distance: 0.0 meters, Time: 0.0 seconds
