Name: Eglinton Avenue West, Instruction: Head east on Eglinton Avenue West, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 113.4 meters, Time: 81.6 seconds
Name: -, Instruction: Keep left, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 460.8 meters, Time: 331.8 seconds
Name: -, Instruction: Keep left, Distance: 122.5 meters, Time: 88.2 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: Yarrow Road, Instruction: Turn right onto Yarrow Road, Distance: 167.3 meters, Time: 120.4 seconds
Name: Avon Drive, Instruction: Turn sharp left onto Avon Drive, Distance: 88.0 meters, Time: 63.4 seconds
Name: -, Instruction: Arrive at Avon Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
