Name: Chatsworth Avenue, Instruction: Head northwest on Chatsworth Avenue, Distance: 144.7 meters, Time: 104.2 seconds
Name: -, Instruction: Turn right, Distance: 100.9 meters, Time: 72.7 seconds
Name: -, Instruction: Turn right, Distance: 509.8 meters, Time: 367.0 seconds
Name: -, Instruction: Turn right, Distance: 32.4 meters, Time: 23.4 seconds
Name: -, Instruction: Turn left, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 274.0 meters, Time: 197.3 seconds
Name: -, Instruction: Turn right, Distance: 444.0 meters, Time: 319.7 seconds
Name: -, Instruction: Continue straight, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Continue straight, Distance: 29.7 meters, Time: 21.4 seconds
Name: Angullia Park, Instruction: Keep left onto Angullia Park, Distance: 139.6 meters, Time: 100.5 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
