Name: Wanita Place, Instruction: Head south on Wanita Place, Distance: 133.4 meters, Time: 96.0 seconds
Name: Girrahween Drive, Instruction: Turn left onto Girrahween Drive, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 120.2 meters, Time: 86.5 seconds
Name: -, Instruction: Keep right, Distance: 103.4 meters, Time: 74.5 seconds
Name: -, Instruction: Keep left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn slight left, Distance: 266.1 meters, Time: 191.6 seconds
Name: -, Instruction: Turn left, Distance: 171.1 meters, Time: 123.2 seconds
Name: Mossop Rise, Instruction: Turn right onto Mossop Rise, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 43.4 meters, Time: 31.3 seconds
Name: -, Instruction: Turn slight right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn left, Distance: 566.9 meters, Time: 408.2 seconds
Name: Weldene Avenue, Instruction: Turn left onto Weldene Avenue, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 52.3 meters, Time: 37.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
