Name: Wrexham Road, Instruction: Head northeast on Wrexham Road, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 282.1 meters, Time: 203.1 seconds
Name: -, Instruction: Turn left, Distance: 43.2 meters, Time: 31.1 seconds
Name: Bow Road, Instruction: Turn left onto Bow Road, Distance: 330.1 meters, Time: 237.7 seconds
Name: -, Instruction: Keep right, Distance: 43.7 meters, Time: 31.5 seconds
Name: -, Instruction: Continue straight, Distance: 95.5 meters, Time: 68.8 seconds
Name: -, Instruction: Keep left, Distance: 135.9 meters, Time: 97.9 seconds
Name: -, Instruction: Turn left, Distance: 34.8 meters, Time: 25.1 seconds
Name: -, Instruction: Keep left, Distance: 115.9 meters, Time: 83.4 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: Devas Street, Instruction: Turn left onto Devas Street, Distance: 69.1 meters, Time: 49.7 seconds
Name: Blackwall Tunnel Northern Approach, A12, Instruction: Continue straight onto Blackwall Tunnel Northern Approach, A12, Distance: 57.0 meters, Time: 41.1 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Continue straight, Distance: 38.1 meters, Time: 27.5 seconds
Name: -, Instruction: Turn slight left, Distance: 86.4 meters, Time: 62.2 seconds
Name: Tweed Walk, Instruction: Turn sharp right onto Tweed Walk, Distance: 102.6 meters, Time: 73.8 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Continue straight, Distance: 6.7 meters, Time: 4.8 seconds
Name: Teviot Street, Instruction: Turn right onto Teviot Street, Distance: 11.2 meters, Time: 8.1 seconds
Name: Teviot Street, Instruction: Turn left onto Teviot Street, Distance: 309.8 meters, Time: 223.1 seconds
Name: Zetland Street, Instruction: Turn right onto Zetland Street, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.4 seconds
Name: Zetland Street, Instruction: Turn right onto Zetland Street, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 191.7 meters, Time: 138.1 seconds
Name: St Leonard's Road, Instruction: Turn left onto St Leonard's Road, Distance: 191.5 meters, Time: 137.9 seconds
Name: St Leonard's Road, Instruction: Turn slight right onto St Leonard's Road, Distance: 67.4 meters, Time: 48.5 seconds
Name: -, Instruction: Turn left, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
