Name: Voglbachlweg, Instruction: Head north on Voglbachlweg, Distance: 67.6 meters, Time: 48.7 seconds
Name: Brunnenplatz, Instruction: Continue straight onto Brunnenplatz, Distance: 24.1 meters, Time: 17.4 seconds
Name: Brunnbachlweg, Instruction: Turn right onto Brunnbachlweg, Distance: 67.0 meters, Time: 48.2 seconds
Name: -, Instruction: Turn left, Distance: 450.7 meters, Time: 324.5 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: Föhringer Allee, Instruction: Turn left onto Föhringer Allee, Distance: 163.1 meters, Time: 117.4 seconds
Name: Blumenstraße, Instruction: Turn right onto Blumenstraße, Distance: 108.3 meters, Time: 78.0 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: Blumenstraße, Instruction: Turn left onto Blumenstraße, Distance: 389.5 meters, Time: 280.4 seconds
Name: Blumenstraße, Instruction: Turn right onto Blumenstraße, Distance: 11.6 meters, Time: 8.3 seconds
Name: Blumenstraße, Instruction: Turn left onto Blumenstraße, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Arrive at Blumenstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
