Name: Avenue du Général Margueritte, Instruction: Head north on Avenue du Général Margueritte, Distance: 127.9 meters, Time: 92.1 seconds
Name: Place du Général Gouraud, Instruction: Turn slight right onto Place du Général Gouraud, Distance: 0.6 meters, Time: 0.4 seconds
Name: -, Instruction: Turn left, Distance: 27.2 meters, Time: 19.6 seconds
Name: Place du Général Gouraud, Instruction: Turn sharp right onto Place du Général Gouraud, Distance: 696.8 meters, Time: 501.7 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 93.1 meters, Time: 67.0 seconds
Name: -, Instruction: Turn left, Distance: 117.1 meters, Time: 84.3 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn slight left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 130.5 meters, Time: 94.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
