Name: Rue d'Amsterdam, Instruction: Head south on Rue d'Amsterdam, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep left, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Keep left, Distance: 208.2 meters, Time: 149.9 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 74.1 meters, Time: 53.3 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.0 seconds
Name: Rue de Stockholm, Instruction: Turn right onto Rue de Stockholm, Distance: 6.2 meters, Time: 4.5 seconds
Name: Rue de Vienne, Instruction: Turn left onto Rue de Vienne, Distance: 31.2 meters, Time: 22.4 seconds
Name: Rue de la Bienfaisance, Instruction: Turn right onto Rue de la Bienfaisance, Distance: 148.6 meters, Time: 107.0 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
