Name: Pasillo B, Instruction: Head west on Pasillo B, Distance: 36.2 meters, Time: 26.1 seconds
Name: Pasillo 5, Instruction: Turn left onto Pasillo 5, Distance: 40.4 meters, Time: 29.1 seconds
Name: Pasillo D, Instruction: Turn right onto Pasillo D, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 62.4 meters, Time: 44.9 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: Calle Emilio Dondé, Instruction: Turn right onto Calle Emilio Dondé, Distance: 6.8 meters, Time: 4.9 seconds
Name: Calle Enrico Martínez, Instruction: Turn left onto Calle Enrico Martínez, Distance: 1065.2 meters, Time: 766.9 seconds
Name: Calle Doctor J. Navarro, Instruction: Turn right onto Calle Doctor J. Navarro, Distance: 338.9 meters, Time: 244.0 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 33.0 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Keep left, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
