Name: Dransfield Drive, Instruction: Head north on Dransfield Drive, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Continue straight, Distance: 229.0 meters, Time: 164.8 seconds
Name: -, Instruction: Turn slight right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn slight right, Distance: 401.0 meters, Time: 288.7 seconds
Name: -, Instruction: Turn right, Distance: 445.9 meters, Time: 321.1 seconds
Name: -, Instruction: Keep left, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Turn slight right, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Keep left, Distance: 7.7 meters, Time: 5.5 seconds
Name: Brabham Drive, Instruction: Turn right onto Brabham Drive, Distance: 84.8 meters, Time: 61.1 seconds
Name: -, Instruction: Turn slight right, Distance: 80.8 meters, Time: 58.1 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 233.0 meters, Time: 167.8 seconds
Name: Leland Street, Instruction: Enter the roundabout and take the 1st exit onto Leland Street, Distance: 82.7 meters, Time: 59.6 seconds
Name: -, Instruction: Arrive at Leland Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
