Name: Dick Johnson Drive, Instruction: Head west on Dick Johnson Drive, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 227.4 meters, Time: 163.8 seconds
Name: -, Instruction: Keep right, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn slight right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn slight left, Distance: 365.3 meters, Time: 263.0 seconds
Name: -, Instruction: Turn slight left, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 489.4 meters, Time: 352.3 seconds
Name: -, Instruction: Turn slight right, Distance: 577.5 meters, Time: 415.8 seconds
Name: -, Instruction: Turn right, Distance: 48.0 meters, Time: 34.6 seconds
Name: -, Instruction: Turn left, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Continue straight, Distance: 80.6 meters, Time: 58.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
