Name: Tennant Road, M152, Instruction: Head northwest on Tennant Road, M152, Distance: 186.6 meters, Time: 134.4 seconds
Name: Herschel Walk, Instruction: Turn left onto Herschel Walk, Distance: 123.0 meters, Time: 88.5 seconds
Name: Monmouth Avenue, Instruction: Turn right onto Monmouth Avenue, Distance: 159.3 meters, Time: 114.7 seconds
Name: Monmouth Avenue, Instruction: Continue straight onto Monmouth Avenue, Distance: 27.4 meters, Time: 19.7 seconds
Name: Monmouth Avenue, Instruction: Continue straight onto Monmouth Avenue, Distance: 331.3 meters, Time: 238.5 seconds
Name: Monmouth Avenue, Instruction: Continue straight onto Monmouth Avenue, Distance: 344.6 meters, Time: 248.1 seconds
Name: -, Instruction: Turn right, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn right, Distance: 281.2 meters, Time: 202.4 seconds
Name: -, Instruction: Turn left, Distance: 27.9 meters, Time: 20.1 seconds
Name: Colenso Road, Instruction: Turn right onto Colenso Road, Distance: 324.4 meters, Time: 233.6 seconds
Name: Upper Noreen Avenue, Instruction: Turn left onto Upper Noreen Avenue, Distance: 67.8 meters, Time: 48.8 seconds
Name: Salisbury Avenue, Instruction: Turn right onto Salisbury Avenue, Distance: 348.3 meters, Time: 250.8 seconds
Name: -, Instruction: Arrive at Salisbury Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
