Name: Kingsley Avenue, Instruction: Head east on Kingsley Avenue, Distance: 38.4 meters, Time: 27.7 seconds
Name: -, Instruction: Turn right, Distance: 312.2 meters, Time: 224.8 seconds
Name: -, Instruction: Turn right, Distance: 229.1 meters, Time: 164.9 seconds
Name: -, Instruction: Keep left, Distance: 111.4 meters, Time: 80.2 seconds
Name: -, Instruction: Turn slight right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Keep left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Keep right, Distance: 264.2 meters, Time: 190.2 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn slight left, Distance: 79.4 meters, Time: 57.2 seconds
Name: -, Instruction: Turn right, Distance: 180.0 meters, Time: 129.6 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
