Name: Friedrich-Rückert-Straße, Instruction: Head northeast on Friedrich-Rückert-Straße, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 60.3 meters, Time: 43.4 seconds
Name: Karl-Valentin-Weg, Instruction: Turn left onto Karl-Valentin-Weg, Distance: 310.8 meters, Time: 223.8 seconds
Name: Eichendorffstraße, Instruction: Continue straight onto Eichendorffstraße, Distance: 575.0 meters, Time: 414.0 seconds
Name: Pestalozzistraße, Instruction: Enter the roundabout and take the 1st exit onto Pestalozzistraße, Distance: 241.0 meters, Time: 173.5 seconds
Name: Pestalozzistraße, Instruction: Keep right onto Pestalozzistraße, Distance: 178.2 meters, Time: 128.3 seconds
Name: Am Bogen, Instruction: Turn left onto Am Bogen, Distance: 2.9 meters, Time: 2.1 seconds
Name: Am Bogen, Instruction: Keep right onto Am Bogen, Distance: 14.8 meters, Time: 10.6 seconds
Name: Rathausstraße, Instruction: Turn right onto Rathausstraße, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Turn left, Distance: 104.5 meters, Time: 75.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
