Name: Oopunga Road, Instruction: Head south on Oopunga Road, Distance: 6.5 meters, Time: 4.6 seconds
Name: Nanjing Road, Instruction: Enter the roundabout and take the 1st exit onto Nanjing Road, Distance: 54.3 meters, Time: 39.1 seconds
Name: Piringa Road, Instruction: Enter the roundabout and take the 1st exit onto Piringa Road, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 217.2 meters, Time: 156.4 seconds
Name: -, Instruction: Turn slight left, Distance: 65.3 meters, Time: 47.0 seconds
Name: -, Instruction: Turn right, Distance: 95.1 meters, Time: 68.5 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 543.1 meters, Time: 391.0 seconds
Name: -, Instruction: Turn left, Distance: 458.9 meters, Time: 330.4 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 372.3 meters, Time: 268.0 seconds
Name: -, Instruction: Turn right, Distance: 116.8 meters, Time: 84.1 seconds
Name: -, Instruction: Turn left, Distance: 137.7 meters, Time: 99.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.2 meters, Time: 4.4 seconds
Name: The Glade South, Instruction: Turn left onto The Glade South, Distance: 9.7 meters, Time: 7.0 seconds
Name: Prospect Terrace, Instruction: Turn right onto Prospect Terrace, Distance: 92.1 meters, Time: 66.3 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
