Name: A101, Instruction: Head northeast on A101, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Turn slight left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Keep right, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn left, Distance: 46.8 meters, Time: 33.7 seconds
Name: Jamaica Road, Instruction: Turn slight left onto Jamaica Road, Distance: 6.0 meters, Time: 4.3 seconds
Name: Jamaica Road, Instruction: Keep right onto Jamaica Road, Distance: 168.3 meters, Time: 121.2 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.9 seconds
Name: Jamaica Road, Instruction: Turn slight right onto Jamaica Road, Distance: 380.3 meters, Time: 273.8 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: Jamaica Road, Instruction: Turn right onto Jamaica Road, Distance: 175.1 meters, Time: 126.1 seconds
Name: St James's Road, Instruction: Turn left onto St James's Road, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn slight left, Distance: 67.2 meters, Time: 48.4 seconds
Name: -, Instruction: Turn left, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn right, Distance: 22.1 meters, Time: 15.9 seconds
Name: Thurland Road, Instruction: Turn left onto Thurland Road, Distance: 23.5 meters, Time: 16.9 seconds
Name: Spa Road, Instruction: Turn right onto Spa Road, Distance: 314.7 meters, Time: 226.6 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
