Name: Dunsterville Way, Instruction: Head west on Dunsterville Way, Distance: 16.8 meters, Time: 12.1 seconds
Name: Porlock Way, Instruction: Turn right onto Porlock Way, Distance: 5.7 meters, Time: 4.1 seconds
Name: Mulvaney Way, Instruction: Turn slight right onto Mulvaney Way, Distance: 129.6 meters, Time: 93.3 seconds
Name: Guy Street, Instruction: Turn left onto Guy Street, Distance: 25.2 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 118.4 meters, Time: 85.3 seconds
Name: Hamilton Square, Instruction: Turn right onto Hamilton Square, Distance: 18.4 meters, Time: 13.2 seconds
Name: Hamilton Square, Instruction: Turn right onto Hamilton Square, Distance: 23.5 meters, Time: 16.9 seconds
Name: Snowsfields, Instruction: Turn left onto Snowsfields, Distance: 269.4 meters, Time: 193.9 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 156.2 meters, Time: 112.4 seconds
Name: -, Instruction: Turn left, Distance: 231.4 meters, Time: 166.6 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 89.7 meters, Time: 64.6 seconds
Name: -, Instruction: Turn right, Distance: 389.0 meters, Time: 280.1 seconds
Name: Sumner Street, Instruction: Turn right onto Sumner Street, Distance: 6.4 meters, Time: 4.6 seconds
Name: Sumner Street, Instruction: Continue straight onto Sumner Street, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Keep left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Keep left, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Keep right, Distance: 42.7 meters, Time: 30.8 seconds
Name: -, Instruction: Keep right, Distance: 5.1 meters, Time: 3.7 seconds
Name: Holland Street, Instruction: Turn left onto Holland Street, Distance: 84.3 meters, Time: 60.7 seconds
Name: Hopton Street, Instruction: Turn right onto Hopton Street, Distance: 21.3 meters, Time: 15.4 seconds
Name: -, Instruction: Arrive at Hopton Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
