Name: Calle Paseo de los Cipreses, Instruction: Head north on Calle Paseo de los Cipreses, Distance: 147.4 meters, Time: 106.1 seconds
Name: Calle Paseo de los Naranjos, Instruction: Turn left onto Calle Paseo de los Naranjos, Distance: 71.2 meters, Time: 51.3 seconds
Name: Avenida Paseo de los Jardines, Instruction: Turn right onto Avenida Paseo de los Jardines, Distance: 98.2 meters, Time: 70.7 seconds
Name: Avenida Paseo de los Jardines, Instruction: Enter the roundabout and take the 2nd exit onto Avenida Paseo de los Jardines, Distance: 145.1 meters, Time: 104.5 seconds
Name: Avenida Río Churubusco, Instruction: Turn right onto Avenida Río Churubusco, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 56.5 meters, Time: 40.7 seconds
Name: -, Instruction: Turn left, Distance: 396.0 meters, Time: 285.2 seconds
Name: -, Instruction: Keep left, Distance: 68.1 meters, Time: 49.0 seconds
Name: -, Instruction: Keep left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Keep right, Distance: 485.1 meters, Time: 349.3 seconds
Name: Avenida Río Churubusco, Instruction: Turn slight left onto Avenida Río Churubusco, Distance: 107.0 meters, Time: 77.1 seconds
Name: -, Instruction: Turn left, Distance: 101.6 meters, Time: 73.2 seconds
Name: Avenida Río Churubusco, Instruction: Turn right onto Avenida Río Churubusco, Distance: 328.3 meters, Time: 236.3 seconds
Name: Calle Sur 69, Instruction: Turn right onto Calle Sur 69, Distance: 120.2 meters, Time: 86.5 seconds
Name: -, Instruction: Arrive at Calle Sur 69, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
