Name: Huntley Street, Instruction: Head south on Huntley Street, Distance: 40.9 meters, Time: 29.5 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: Earl Place, Instruction: Turn right onto Earl Place, Distance: 306.6 meters, Time: 220.8 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Turn right, Distance: 288.0 meters, Time: 207.4 seconds
Name: -, Instruction: Turn left, Distance: 101.0 meters, Time: 72.7 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 120.6 meters, Time: 86.9 seconds
Name: -, Instruction: Turn right, Distance: 43.0 meters, Time: 31.0 seconds
Name: St Luke Lane, Instruction: Turn left onto St Luke Lane, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Keep left, Distance: 58.1 meters, Time: 41.8 seconds
Name: -, Instruction: Turn left, Distance: 54.2 meters, Time: 39.0 seconds
Name: -, Instruction: Turn right, Distance: 60.1 meters, Time: 43.3 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 499.3 meters, Time: 359.5 seconds
Name: Walton Street, Instruction: Turn right onto Walton Street, Distance: 114.7 meters, Time: 82.5 seconds
Name: Elizabeth Street, Instruction: Turn left onto Elizabeth Street, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Arrive at Elizabeth Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
