Name: Linwood Road, Instruction: Head north on Linwood Road, Distance: 25.5 meters, Time: 18.4 seconds
Name: Dyke Road, Instruction: Keep right onto Dyke Road, Distance: 282.4 meters, Time: 203.3 seconds
Name: Karaka Village Parade, Instruction: Turn left onto Karaka Village Parade, Distance: 297.4 meters, Time: 214.1 seconds
Name: Karaka Village Parade, Instruction: Continue straight onto Karaka Village Parade, Distance: 34.6 meters, Time: 24.9 seconds
Name: Black Angus Boulevard, Instruction: Turn slight left onto Black Angus Boulevard, Distance: 9.0 meters, Time: 6.5 seconds
Name: Black Angus Boulevard, Instruction: Keep right onto Black Angus Boulevard, Distance: 26.2 meters, Time: 18.9 seconds
Name: Karaka Village Parade, Instruction: Turn left onto Karaka Village Parade, Distance: 277.0 meters, Time: 199.4 seconds
Name: Suffolk Down Road, Instruction: Turn left onto Suffolk Down Road, Distance: 151.5 meters, Time: 109.0 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 46.9 meters, Time: 33.8 seconds
Name: -, Instruction: Turn slight right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn slight left, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
