Name: Sheridan Avenue, Instruction: Head south on Sheridan Avenue, Distance: 233.1 meters, Time: 167.9 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 34.7 meters, Time: 24.9 seconds
Name: -, Instruction: Turn left, Distance: 162.8 meters, Time: 117.2 seconds
Name: -, Instruction: Keep right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 837.3 meters, Time: 602.9 seconds
Name: -, Instruction: Keep left, Distance: 231.0 meters, Time: 166.3 seconds
Name: -, Instruction: Keep right, Distance: 145.9 meters, Time: 105.0 seconds
Name: -, Instruction: Turn right, Distance: 223.3 meters, Time: 160.8 seconds
Name: -, Instruction: Turn left, Distance: 124.9 meters, Time: 89.9 seconds
Name: -, Instruction: Turn right, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: Trinity Circle, Instruction: Turn right onto Trinity Circle, Distance: 48.3 meters, Time: 34.8 seconds
Name: Trinity Circle, Instruction: Keep left onto Trinity Circle, Distance: 49.1 meters, Time: 35.3 seconds
Name: -, Instruction: Keep right, Distance: 111.6 meters, Time: 80.4 seconds
Name: -, Instruction: Turn right, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Turn slight left, Distance: 6.8 meters, Time: 4.9 seconds
Name: Gore Vale Avenue, Instruction: Turn right onto Gore Vale Avenue, Distance: 8.9 meters, Time: 6.4 seconds
Name: Queen Street West, Instruction: Turn left onto Queen Street West, Distance: 18.3 meters, Time: 13.2 seconds
Name: Walnut Avenue, Instruction: Turn right onto Walnut Avenue, Distance: 24.1 meters, Time: 17.4 seconds
Name: -, Instruction: Arrive at Walnut Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
