Name: Lochiel Road, Instruction: Head southwest on Lochiel Road, Distance: 158.8 meters, Time: 114.4 seconds
Name: -, Instruction: Continue straight, Distance: 291.0 meters, Time: 209.5 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn slight left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 146.3 meters, Time: 105.4 seconds
Name: -, Instruction: Turn slight left, Distance: 77.4 meters, Time: 55.8 seconds
Name: -, Instruction: Turn slight right, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Keep right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Keep left, Distance: 98.6 meters, Time: 71.0 seconds
Name: -, Instruction: Keep right, Distance: 528.1 meters, Time: 380.2 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 759.9 meters, Time: 547.1 seconds
Name: -, Instruction: Turn right, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Keep right, Distance: 255.3 meters, Time: 183.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
