Name: Yishun Street 51, Instruction: Head west on Yishun Street 51, Distance: 44.1 meters, Time: 31.7 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 301.6 meters, Time: 217.2 seconds
Name: -, Instruction: Turn left, Distance: 204.8 meters, Time: 147.4 seconds
Name: -, Instruction: Turn right, Distance: 495.5 meters, Time: 356.8 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: Yishun Street 61, Instruction: Turn right onto Yishun Street 61, Distance: 258.5 meters, Time: 186.1 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.1 seconds
Name: Yishun Central 2, Instruction: Turn right onto Yishun Central 2, Distance: 73.7 meters, Time: 53.1 seconds
Name: Yishun Central 2, Instruction: Keep left onto Yishun Central 2, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 160.2 meters, Time: 115.4 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 60.1 meters, Time: 43.3 seconds
Name: -, Instruction: Turn left, Distance: 39.9 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: Northpoint Drive, Instruction: Turn left onto Northpoint Drive, Distance: 65.9 meters, Time: 47.4 seconds
Name: Northpoint Drive, Instruction: Continue straight onto Northpoint Drive, Distance: 37.7 meters, Time: 27.2 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
