Name: شارع عباس محمود العقاد, Instruction: Head east on شارع عباس محمود العقاد, Distance: 164.4 meters, Time: 118.4 seconds
Name: شارع عمرو بن العاص, Instruction: Turn right onto شارع عمرو بن العاص, Distance: 379.3 meters, Time: 273.1 seconds
Name: -, Instruction: Turn left, Distance: 96.8 meters, Time: 69.7 seconds
Name: محور مصطفى كامل الجانبى, Instruction: Turn left onto محور مصطفى كامل الجانبى, Distance: 65.6 meters, Time: 47.3 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: محور مصطفى كامل, Instruction: Turn left onto محور مصطفى كامل, Distance: 91.8 meters, Time: 66.1 seconds
Name: -, Instruction: Keep right, Distance: 30.3 meters, Time: 21.8 seconds
Name: محور مصطفى كامل, Instruction: Turn sharp left onto محور مصطفى كامل, Distance: 179.7 meters, Time: 129.4 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 209.9 meters, Time: 151.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
