Name: Paul Hahn Lane, Instruction: Head south on Paul Hahn Lane, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn right, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn left, Distance: 247.0 meters, Time: 177.8 seconds
Name: -, Instruction: Keep left, Distance: 34.8 meters, Time: 25.0 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: Crescent Road, Instruction: Turn right onto Crescent Road, Distance: 754.5 meters, Time: 543.2 seconds
Name: -, Instruction: Turn left, Distance: 199.9 meters, Time: 143.9 seconds
Name: -, Instruction: Keep left, Distance: 375.7 meters, Time: 270.5 seconds
Name: -, Instruction: Keep right, Distance: 145.8 meters, Time: 105.0 seconds
Name: Bin-Scarth Road, Instruction: Turn right onto Bin-Scarth Road, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Arrive at Bin-Scarth Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
