Name: East 93rd Avenue, Instruction: Head west on East 93rd Avenue, Distance: 210.1 meters, Time: 151.3 seconds
Name: Garfield Street, Instruction: Turn right onto Garfield Street, Distance: 39.1 meters, Time: 28.2 seconds
Name: East 94th Drive, Instruction: Turn left onto East 94th Drive, Distance: 241.8 meters, Time: 174.1 seconds
Name: East 94th Avenue, Instruction: Turn left onto East 94th Avenue, Distance: 59.1 meters, Time: 42.5 seconds
Name: -, Instruction: Turn left, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn right, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn right, Distance: 72.1 meters, Time: 51.9 seconds
Name: -, Instruction: Continue straight, Distance: 179.2 meters, Time: 129.0 seconds
Name: -, Instruction: Turn left, Distance: 26.6 meters, Time: 19.2 seconds
Name: -, Instruction: Turn right, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn left, Distance: 74.0 meters, Time: 53.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
