Name: Teck Whye Lane, Instruction: Head northwest on Teck Whye Lane, Distance: 65.9 meters, Time: 47.5 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 117.0 meters, Time: 84.2 seconds
Name: -, Instruction: Turn slight left, Distance: 225.5 meters, Time: 162.3 seconds
Name: -, Instruction: Keep left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn slight left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 346.7 meters, Time: 249.6 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn slight left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 389.1 meters, Time: 280.2 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.8 seconds
Name: Choa Chu Kang Avenue 6, Instruction: Turn left onto Choa Chu Kang Avenue 6, Distance: 127.8 meters, Time: 92.0 seconds
Name: -, Instruction: Keep right, Distance: 43.9 meters, Time: 31.6 seconds
Name: Choa Chu Kang Avenue 5, Instruction: Turn slight right onto Choa Chu Kang Avenue 5, Distance: 330.6 meters, Time: 238.0 seconds
Name: -, Instruction: Arrive at Choa Chu Kang Avenue 5, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
