Name: Pentlands Close, Instruction: Head southeast on Pentlands Close, Distance: 142.9 meters, Time: 102.9 seconds
Name: Commonside East, Instruction: Turn left onto Commonside East, Distance: 63.6 meters, Time: 45.8 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 322.8 meters, Time: 232.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.8 meters, Time: 4.2 seconds
Name: Cedars Avenue, Instruction: Turn right onto Cedars Avenue, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Keep left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 49.5 meters, Time: 35.7 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 96.1 meters, Time: 69.2 seconds
Name: -, Instruction: Turn right, Distance: 230.5 meters, Time: 166.0 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 79.0 meters, Time: 56.9 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Turn slight left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 264.8 meters, Time: 190.7 seconds
Name: Leather Close, Instruction: Turn left onto Leather Close, Distance: 5.2 meters, Time: 3.7 seconds
Name: Lammas Avenue, Instruction: Turn right onto Lammas Avenue, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn left, Distance: 68.8 meters, Time: 49.5 seconds
Name: -, Instruction: Turn right, Distance: 44.1 meters, Time: 31.8 seconds
Name: -, Instruction: Turn left, Distance: 214.0 meters, Time: 154.1 seconds
Name: -, Instruction: Turn left, Distance: 83.0 meters, Time: 59.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
