Name: Greenwood Avenue, Instruction: Head south on Greenwood Avenue, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 80.3 meters, Time: 57.8 seconds
Name: St. Hubert Avenue, Instruction: Turn left onto St. Hubert Avenue, Distance: 190.2 meters, Time: 136.9 seconds
Name: -, Instruction: Turn right, Distance: 72.3 meters, Time: 52.0 seconds
Name: -, Instruction: Keep left, Distance: 81.3 meters, Time: 58.6 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn slight right, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: Lesmount Avenue, Instruction: Turn left onto Lesmount Avenue, Distance: 213.8 meters, Time: 154.0 seconds
Name: -, Instruction: Turn right, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Keep right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 219.8 meters, Time: 158.3 seconds
Name: -, Instruction: Turn right, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn left, Distance: 93.4 meters, Time: 67.2 seconds
Name: -, Instruction: Turn right, Distance: 107.9 meters, Time: 77.7 seconds
Name: Dewhurst Boulevard North, Instruction: Turn left onto Dewhurst Boulevard North, Distance: 72.0 meters, Time: 51.9 seconds
Name: -, Instruction: Turn right, Distance: 451.1 meters, Time: 324.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.9 meters, Time: 5.7 seconds
Name: Mortimer Avenue, Instruction: Turn right onto Mortimer Avenue, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at Mortimer Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
