Name: Avenue Circulaire, Instruction: Head north on Avenue Circulaire, Distance: 113.6 meters, Time: 81.8 seconds
Name: Avenue de l'Ouest, Instruction: Turn left onto Avenue de l'Ouest, Distance: 134.0 meters, Time: 96.5 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Turn right, Distance: 50.9 meters, Time: 36.6 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn slight right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 143.9 meters, Time: 103.6 seconds
Name: -, Instruction: Keep left, Distance: 291.9 meters, Time: 210.2 seconds
Name: -, Instruction: Keep left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Keep left, Distance: 63.1 meters, Time: 45.4 seconds
Name: -, Instruction: Keep right, Distance: 398.8 meters, Time: 287.1 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Keep right, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Keep left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Keep left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Keep left, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 145.5 meters, Time: 104.8 seconds
Name: -, Instruction: Turn right, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Keep left, Distance: 0.4 meters, Time: 0.3 seconds
Name: -, Instruction: Keep right, Distance: 166.8 meters, Time: 120.1 seconds
Name: -, Instruction: Keep left, Distance: 99.6 meters, Time: 71.7 seconds
Name: -, Instruction: Keep right, Distance: 119.8 meters, Time: 86.2 seconds
Name: -, Instruction: Keep left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Keep left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight right, Distance: 140.3 meters, Time: 101.0 seconds
Name: -, Instruction: Turn slight left, Distance: 64.9 meters, Time: 46.7 seconds
Name: Rue d'Aix, Instruction: Turn right onto Rue d'Aix, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 44.5 meters, Time: 32.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
