Name: Gladstone Avenue, Instruction: Head south on Gladstone Avenue, Distance: 154.9 meters, Time: 111.6 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 133.6 meters, Time: 96.2 seconds
Name: -, Instruction: Keep left, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 83.8 meters, Time: 60.4 seconds
Name: -, Instruction: Turn left, Distance: 266.5 meters, Time: 191.9 seconds
Name: -, Instruction: Keep right, Distance: 79.8 meters, Time: 57.5 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 69.0 meters, Time: 49.7 seconds
Name: -, Instruction: Turn slight left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Keep right, Distance: 88.4 meters, Time: 63.6 seconds
Name: St. Clarens Avenue, Instruction: Turn left onto St. Clarens Avenue, Distance: 192.4 meters, Time: 138.5 seconds
Name: Paton Road, Instruction: Turn right onto Paton Road, Distance: 71.9 meters, Time: 51.8 seconds
Name: -, Instruction: Arrive at Paton Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
