Name: Little Dorrit Court, Instruction: Head southeast on Little Dorrit Court, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 90.6 meters, Time: 65.2 seconds
Name: Disney Street, Instruction: Turn left onto Disney Street, Distance: 8.2 meters, Time: 5.9 seconds
Name: Disney Place, Instruction: Continue straight onto Disney Place, Distance: 36.8 meters, Time: 26.5 seconds
Name: Marshalsea Road, A3201, Instruction: Turn right onto Marshalsea Road, A3201, Distance: 4.5 meters, Time: 3.2 seconds
Name: Sanctuary Street, Instruction: Turn left onto Sanctuary Street, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Turn left, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn slight right, Distance: 202.9 meters, Time: 146.1 seconds
Name: -, Instruction: Keep left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 492.9 meters, Time: 354.9 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 230.8 meters, Time: 166.2 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 269.0 meters, Time: 193.7 seconds
Name: -, Instruction: Turn slight left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 25.1 meters, Time: 18.1 seconds
Name: Kennington Road, Instruction: Turn right onto Kennington Road, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 101.9 meters, Time: 73.4 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 187.6 meters, Time: 135.1 seconds
Name: -, Instruction: Keep left, Distance: 56.4 meters, Time: 40.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
