Name: Kyreinstraße, Instruction: Head west on Kyreinstraße, Distance: 283.0 meters, Time: 203.7 seconds
Name: Danklstraße, Instruction: Turn right onto Danklstraße, Distance: 80.1 meters, Time: 57.7 seconds
Name: Alramstraße, Instruction: Turn left onto Alramstraße, Distance: 298.8 meters, Time: 215.1 seconds
Name: Kidlerstraße, Instruction: Turn right onto Kidlerstraße, Distance: 27.8 meters, Time: 20.0 seconds
Name: Sendlinger Kirchplatz, Instruction: Turn left onto Sendlinger Kirchplatz, Distance: 73.7 meters, Time: 53.1 seconds
Name: -, Instruction: Turn left, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn slight right, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn slight left, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 389.4 meters, Time: 280.4 seconds
Name: -, Instruction: Keep left, Distance: 306.1 meters, Time: 220.4 seconds
Name: -, Instruction: Keep right, Distance: 91.4 meters, Time: 65.8 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 77.3 meters, Time: 55.6 seconds
Name: -, Instruction: Keep right, Distance: 79.1 meters, Time: 57.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
