Name: Müllerstraße, Instruction: Head west on Müllerstraße, Distance: 27.7 meters, Time: 19.9 seconds
Name: Angertorstraße, Instruction: Turn right onto Angertorstraße, Distance: 103.7 meters, Time: 74.7 seconds
Name: Blumenstraße, Instruction: Turn left onto Blumenstraße, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 32.2 meters, Time: 23.1 seconds
Name: -, Instruction: Turn slight right, Distance: 9.8 meters, Time: 7.0 seconds
Name: Unterer Anger, Instruction: Turn slight left onto Unterer Anger, Distance: 240.6 meters, Time: 173.2 seconds
Name: Sankt-Jakobs-Platz, Instruction: Turn slight right onto Sankt-Jakobs-Platz, Distance: 21.9 meters, Time: 15.8 seconds
Name: Sankt-Jakobs-Platz, Instruction: Turn left onto Sankt-Jakobs-Platz, Distance: 61.1 meters, Time: 44.0 seconds
Name: -, Instruction: Turn right, Distance: 65.2 meters, Time: 46.9 seconds
Name: -, Instruction: Keep left, Distance: 17.9 meters, Time: 12.9 seconds
Name: Sankt-Jakobs-Platz, Instruction: Turn left onto Sankt-Jakobs-Platz, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 117.0 meters, Time: 84.3 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.1 seconds
Name: Pettenbeckstraße, Instruction: Turn right onto Pettenbeckstraße, Distance: 69.8 meters, Time: 50.2 seconds
Name: Rosenstraße, Instruction: Turn right onto Rosenstraße, Distance: 127.7 meters, Time: 91.9 seconds
Name: Marienplatz, Instruction: Turn slight left onto Marienplatz, Distance: 33.3 meters, Time: 24.0 seconds
Name: Weinstraße, Instruction: Continue straight onto Weinstraße, Distance: 568.6 meters, Time: 409.4 seconds
Name: -, Instruction: Turn right, Distance: 34.9 meters, Time: 25.2 seconds
Name: Residenzstraße, Instruction: Turn left onto Residenzstraße, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Turn left, Distance: 157.6 meters, Time: 113.5 seconds
Name: -, Instruction: Turn right, Distance: 26.9 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
