Name: Calle Conchita Urquiza, Instruction: Head east on Calle Conchita Urquiza, Distance: 6.9 meters, Time: 5.0 seconds
Name: Calle Rosario Castellanos, Instruction: Turn right onto Calle Rosario Castellanos, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 100.4 meters, Time: 72.3 seconds
Name: -, Instruction: Turn right, Distance: 20.9 meters, Time: 15.1 seconds
Name: Privada Estacionamiento, Instruction: Turn left onto Privada Estacionamiento, Distance: 161.4 meters, Time: 116.2 seconds
Name: Calle Candelaria Pérez, Instruction: Turn left onto Calle Candelaria Pérez, Distance: 240.7 meters, Time: 173.3 seconds
Name: -, Instruction: Turn right, Distance: 172.2 meters, Time: 124.0 seconds
Name: -, Instruction: Turn right, Distance: 1658.2 meters, Time: 1193.9 seconds
Name: -, Instruction: Turn left, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Turn left, Distance: 128.9 meters, Time: 92.8 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 106.6 meters, Time: 76.7 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 265.5 meters, Time: 191.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
