Name: St John's Road, Instruction: Head west on St John's Road, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 96.0 meters, Time: 69.1 seconds
Name: -, Instruction: Turn left, Distance: 376.4 meters, Time: 271.0 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 38.8 meters, Time: 27.9 seconds
Name: -, Instruction: Turn right, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Keep right, Distance: 87.0 meters, Time: 62.6 seconds
Name: -, Instruction: Keep left, Distance: 38.4 meters, Time: 27.7 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 237.2 meters, Time: 170.8 seconds
Name: -, Instruction: Keep left, Distance: 7.6 meters, Time: 5.5 seconds
Name: Ardagh Street, Instruction: Turn right onto Ardagh Street, Distance: 84.5 meters, Time: 60.8 seconds
Name: -, Instruction: Arrive at Ardagh Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
