Name: Rue de la Jonquière, Instruction: Head southeast on Rue de la Jonquière, Distance: 583.3 meters, Time: 420.0 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn slight right, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn slight right, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 134.7 meters, Time: 97.0 seconds
Name: -, Instruction: Keep right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn slight right, Distance: 156.1 meters, Time: 112.4 seconds
Name: -, Instruction: Keep left, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: Rue Vauvenargues, Instruction: Turn right onto Rue Vauvenargues, Distance: 2.9 meters, Time: 2.1 seconds
Name: Rue Championnet, Instruction: Turn left onto Rue Championnet, Distance: 389.1 meters, Time: 280.1 seconds
Name: Rue Championnet, Instruction: Continue straight onto Rue Championnet, Distance: 609.5 meters, Time: 438.8 seconds
Name: -, Instruction: Enter the roundabout and take the 7th exit, Distance: 71.4 meters, Time: 51.4 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 120.4 meters, Time: 86.7 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
