Name: Mitchell Street, Instruction: Head northeast on Mitchell Street, Distance: 89.5 meters, Time: 64.5 seconds
Name: Wentworth Park Road, Instruction: Turn left onto Wentworth Park Road, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 28.8 meters, Time: 20.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 202.7 meters, Time: 145.9 seconds
Name: -, Instruction: Continue straight, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 135.1 meters, Time: 97.3 seconds
Name: -, Instruction: Continue straight, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 152.3 meters, Time: 109.6 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Continue straight, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: Upper Fig Street, Instruction: Turn right onto Upper Fig Street, Distance: 3.1 meters, Time: 2.2 seconds
Name: Bulwara Road, Instruction: Turn slight left onto Bulwara Road, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.6 seconds
Name: Upper Fig Street, Instruction: Turn right onto Upper Fig Street, Distance: 77.7 meters, Time: 55.9 seconds
Name: -, Instruction: Turn left, Distance: 152.9 meters, Time: 110.1 seconds
Name: -, Instruction: Turn right, Distance: 29.8 meters, Time: 21.4 seconds
Name: Allen Street, Instruction: Turn right onto Allen Street, Distance: 202.6 meters, Time: 145.8 seconds
Name: -, Instruction: Arrive at Allen Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
