Name: Rue de la Légion d'Honneur, Instruction: Head southwest on Rue de la Légion d'Honneur, Distance: 30.1 meters, Time: 21.7 seconds
Name: Rue de Bellechasse, Instruction: Continue straight onto Rue de Bellechasse, Distance: 1158.1 meters, Time: 833.8 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn slight right, Distance: 220.0 meters, Time: 158.4 seconds
Name: -, Instruction: Turn left, Distance: 103.1 meters, Time: 74.2 seconds
Name: -, Instruction: Turn left, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 183.4 meters, Time: 132.1 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: Rue Eblé, Instruction: Turn right onto Rue Eblé, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.1 seconds
Name: Esplanade Jacques Chaban-Delmas, Instruction: Turn right onto Esplanade Jacques Chaban-Delmas, Distance: 37.2 meters, Time: 26.8 seconds
Name: Esplanade Jacques Chaban-Delmas, Instruction: Turn left onto Esplanade Jacques Chaban-Delmas, Distance: 113.0 meters, Time: 81.4 seconds
Name: Place de Breteuil, Instruction: Turn right onto Place de Breteuil, Distance: 12.8 meters, Time: 9.2 seconds
Name: Place de Breteuil, Instruction: Turn left onto Place de Breteuil, Distance: 124.8 meters, Time: 89.8 seconds
Name: -, Instruction: Turn right, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Keep left, Distance: 70.6 meters, Time: 50.9 seconds
Name: -, Instruction: Turn left, Distance: 61.0 meters, Time: 43.9 seconds
Name: -, Instruction: Turn right, Distance: 14.2 meters, Time: 10.3 seconds
Name: -, Instruction: Turn slight left, Distance: 52.0 meters, Time: 37.5 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 80.0 meters, Time: 57.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
