Name: Rue de l'Ingénieur Robert Keller, Instruction: Head northwest on Rue de l'Ingénieur Robert Keller, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 179.4 meters, Time: 129.2 seconds
Name: -, Instruction: Turn right, Distance: 67.5 meters, Time: 48.6 seconds
Name: -, Instruction: Keep left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Keep left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Keep right, Distance: 30.6 meters, Time: 22.1 seconds
Name: -, Instruction: Keep left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Keep left, Distance: 149.0 meters, Time: 107.3 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn slight left, Distance: 64.7 meters, Time: 46.6 seconds
Name: Quai André Citroën, Instruction: Turn left onto Quai André Citroën, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: Port de Javel-Haut, Instruction: Turn left onto Port de Javel-Haut, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 182.0 meters, Time: 131.0 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 55.1 meters, Time: 39.7 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Keep left, Distance: 52.4 meters, Time: 37.7 seconds
Name: -, Instruction: Keep left, Distance: 121.8 meters, Time: 87.7 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 30.5 meters, Time: 21.9 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 251.8 meters, Time: 181.3 seconds
Name: -, Instruction: Turn right, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn left, Distance: 238.6 meters, Time: 171.8 seconds
Name: -, Instruction: Turn slight left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn slight left, Distance: 152.7 meters, Time: 109.9 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Keep left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn slight right, Distance: 88.0 meters, Time: 63.4 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 145.3 meters, Time: 104.6 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 140.5 meters, Time: 101.2 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
