Name: Teck Lim Road, Instruction: Head northwest on Teck Lim Road, Distance: 82.5 meters, Time: 59.4 seconds
Name: Keong Saik Road, Instruction: Turn right onto Keong Saik Road, Distance: 62.6 meters, Time: 45.1 seconds
Name: Keong Saik Road, Instruction: Keep left onto Keong Saik Road, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Turn left, Distance: 51.0 meters, Time: 36.7 seconds
Name: -, Instruction: Turn right, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: Pearl's Hill Terrace, Instruction: Turn left onto Pearl's Hill Terrace, Distance: 69.5 meters, Time: 50.0 seconds
Name: -, Instruction: Turn left, Distance: 112.3 meters, Time: 80.8 seconds
Name: Pearl Bank, Instruction: Turn sharp left onto Pearl Bank, Distance: 102.5 meters, Time: 73.8 seconds
Name: -, Instruction: Keep left, Distance: 111.1 meters, Time: 80.0 seconds
Name: -, Instruction: Turn right, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn left, Distance: 243.1 meters, Time: 175.0 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Keep left, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Turn right, Distance: 70.6 meters, Time: 50.8 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Keep right, Distance: 131.5 meters, Time: 94.7 seconds
Name: Eng Hoon Street, Instruction: Continue straight onto Eng Hoon Street, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
