Name: Rue Auger, Instruction: Head northwest on Rue Auger, Distance: 56.7 meters, Time: 40.9 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn slight right, Distance: 57.3 meters, Time: 41.3 seconds
Name: -, Instruction: Turn slight left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 55.4 meters, Time: 39.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 241.1 meters, Time: 173.6 seconds
Name: -, Instruction: Continue straight, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Continue straight, Distance: 135.9 meters, Time: 97.8 seconds
Name: Galerie de l'Ourcq, Instruction: Turn right onto Galerie de l'Ourcq, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Turn left, Distance: 41.4 meters, Time: 29.8 seconds
Name: Boulevard Sérurier, Instruction: Turn right onto Boulevard Sérurier, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 152.4 meters, Time: 109.7 seconds
Name: -, Instruction: Turn right, Distance: 52.9 meters, Time: 38.1 seconds
Name: -, Instruction: Keep right, Distance: 52.1 meters, Time: 37.5 seconds
Name: Allée du Zénith, Instruction: Turn left onto Allée du Zénith, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Turn left, Distance: 61.6 meters, Time: 44.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
