Name: Parc Rives de Seine - Georges Pompidou, Instruction: Head south on Parc Rives de Seine - Georges Pompidou, Distance: 204.2 meters, Time: 147.0 seconds
Name: Esplanade des Villes-Compagnons-de-la-Libération, Instruction: Turn left onto Esplanade des Villes-Compagnons-de-la-Libération, Distance: 53.9 meters, Time: 38.8 seconds
Name: Esplanade des Villes-Compagnons-de-la-Libération, Instruction: Keep left onto Esplanade des Villes-Compagnons-de-la-Libération, Distance: 176.8 meters, Time: 127.3 seconds
Name: -, Instruction: Keep left, Distance: 91.7 meters, Time: 66.0 seconds
Name: -, Instruction: Turn right, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn slight right, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 191.9 meters, Time: 138.1 seconds
Name: -, Instruction: Keep right, Distance: 246.2 meters, Time: 177.2 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Turn slight right, Distance: 25.8 meters, Time: 18.6 seconds
Name: Quai d'Austerlitz, Instruction: Turn left onto Quai d'Austerlitz, Distance: 113.8 meters, Time: 81.9 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Keep left, Distance: 17.1 meters, Time: 12.3 seconds
Name: Cour Seine, Instruction: Turn left onto Cour Seine, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Arrive at Cour Seine, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
