Name: Hohenklingenstraße, Instruction: Head north on Hohenklingenstraße, Distance: 218.1 meters, Time: 157.0 seconds
Name: -, Instruction: Turn left, Distance: 48.7 meters, Time: 35.0 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn slight right, Distance: 85.1 meters, Time: 61.3 seconds
Name: -, Instruction: Turn slight left, Distance: 7.7 meters, Time: 5.5 seconds
Name: Guardinistraße, Instruction: Turn left onto Guardinistraße, Distance: 130.4 meters, Time: 93.9 seconds
Name: -, Instruction: Turn right, Distance: 130.9 meters, Time: 94.2 seconds
Name: -, Instruction: Turn right, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn left, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn right, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Turn slight right, Distance: 63.6 meters, Time: 45.8 seconds
Name: Stiftsbogen, Instruction: Turn left onto Stiftsbogen, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 61.6 meters, Time: 44.3 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Keep left, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Keep right, Distance: 81.3 meters, Time: 58.6 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.7 seconds
Name: Schröfelhofstraße, Instruction: Turn right onto Schröfelhofstraße, Distance: 82.4 meters, Time: 59.3 seconds
Name: -, Instruction: Arrive at Schröfelhofstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
