Name: Burragulung Street, Instruction: Head south on Burragulung Street, Distance: 123.1 meters, Time: 88.6 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn right, Distance: 103.4 meters, Time: 74.5 seconds
Name: -, Instruction: Turn right, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn left, Distance: 237.6 meters, Time: 171.1 seconds
Name: -, Instruction: Keep left, Distance: 68.8 meters, Time: 49.5 seconds
Name: Henning Avenue, Instruction: Turn right onto Henning Avenue, Distance: 139.7 meters, Time: 100.6 seconds
Name: Edgar Street, Instruction: Turn right onto Edgar Street, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 67.0 meters, Time: 48.3 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 196.0 meters, Time: 141.1 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.0 seconds
Name: Cooper Street, Instruction: Turn left onto Cooper Street, Distance: 114.9 meters, Time: 82.7 seconds
Name: Keating Street, Instruction: Turn right onto Keating Street, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Keep left, Distance: 109.3 meters, Time: 78.7 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
