Name: Rue Soleillet, Instruction: Head northwest on Rue Soleillet, Distance: 167.8 meters, Time: 120.8 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: Place Carmen, Instruction: Turn slight left onto Place Carmen, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn slight left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 111.5 meters, Time: 80.3 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 182.2 meters, Time: 131.2 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: Rue des Cendriers, Instruction: Turn left onto Rue des Cendriers, Distance: 14.3 meters, Time: 10.3 seconds
Name: Boulevard de Ménilmontant, Instruction: Turn slight left onto Boulevard de Ménilmontant, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: Allée Hanna Kamieniecki, Instruction: Keep left onto Allée Hanna Kamieniecki, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn slight left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 23.6 meters, Time: 17.0 seconds
Name: Rue des Bluets, Instruction: Turn left onto Rue des Bluets, Distance: 271.4 meters, Time: 195.4 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn slight left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 232.4 meters, Time: 167.3 seconds
Name: -, Instruction: Keep left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 165.1 meters, Time: 118.8 seconds
Name: -, Instruction: Turn slight left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Keep right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 59.9 meters, Time: 43.1 seconds
Name: -, Instruction: Keep left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Keep left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Keep left, Distance: 135.9 meters, Time: 97.8 seconds
Name: -, Instruction: Keep left, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Keep left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Keep right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Keep right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Keep right, Distance: 7.4 meters, Time: 5.4 seconds
Name: -, Instruction: Keep left, Distance: 56.3 meters, Time: 40.5 seconds
Name: -, Instruction: Keep left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Keep right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn slight right, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Keep left, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 57.6 meters, Time: 41.5 seconds
Name: -, Instruction: Turn left, Distance: 365.9 meters, Time: 263.4 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: Place de la République, Instruction: Turn right onto Place de la République, Distance: 118.4 meters, Time: 85.2 seconds
Name: Place de la République, Instruction: Turn left onto Place de la République, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
